code,country,demo,year,demo_total
AUT,Austria,Y15T64,1992,5284260
AUT,Austria,Y15T64,1993,5319525
AUT,Austria,Y15T64,1994,5329896
AUT,Austria,Y15T64,1995,5329993
AUT,Austria,Y15T64,1996,5335962
AUT,Austria,Y15T64,1997,5347245
AUT,Austria,Y15T64,1998,5361371
AUT,Austria,Y15T64,1999,5383258
AUT,Austria,Y15T64,2000,5410260
AUT,Austria,Y15T64,2001,5446199
CAN,Canada,Y15T64,1992,19207617
CAN,Canada,Y15T64,1993,19392564
CAN,Canada,Y15T64,1994,19605196
CAN,Canada,Y15T64,1995,19821323
CAN,Canada,Y15T64,1996,20045175
CAN,Canada,Y15T64,1997,20273849
CAN,Canada,Y15T64,1998,20472632
CAN,Canada,Y15T64,1999,20696763
CAN,Canada,Y15T64,2000,20950986
ISL,Iceland,Y15T64,1992,168075
ISL,Iceland,Y15T64,1993,169409
ISL,Iceland,Y15T64,1994,170899
ISL,Iceland,Y15T64,1995,172094
ISL,Iceland,Y15T64,1996,173348
ISL,Iceland,Y15T64,1997,175228
ISL,Iceland,Y15T64,1998,177707
ISL,Iceland,Y15T64,1999,180382
ISL,Iceland,Y15T64,2000,183182
ISL,Iceland,Y15T64,2001,185856
ISL,Iceland,Y15T64,2002,187767
ISL,Iceland,Y15T64,2003,189603
ISL,Iceland,Y15T64,2004,192055
ISL,Iceland,Y15T64,2005,196472
ISL,Iceland,Y15T64,2006,203040
ISL,Iceland,Y15T64,2007,209825
ISL,Iceland,Y15T64,2008,214334
ISL,Iceland,Y15T64,2009,214341
ISL,Iceland,Y15T64,2010,212875
ESP,Spain,Y15T64,1992,26369524
ESP,Spain,Y15T64,1993,26645818
ESP,Spain,Y15T64,1994,26897159
ESP,Spain,Y15T64,1995,27114675
ESP,Spain,Y15T64,1996,27304254
ESP,Spain,Y15T64,1997,27469623
ESP,Spain,Y15T64,1998,27603850
ESP,Spain,Y15T64,1999,27724972
ESP,Spain,Y15T64,2000,27839530
ESP,Spain,Y15T64,2001,27934144
ESP,Spain,Y15T64,2002,28401513
ESP,Spain,Y15T64,2003,28966656
ESP,Spain,Y15T64,2004,29501722
ESP,Spain,Y15T64,2005,30120189
ESP,Spain,Y15T64,2006,30553422
ESP,Spain,Y15T64,2007,31188438
ESP,Spain,Y15T64,2008,31647959
ESP,Spain,Y15T64,2009,31756902
ESP,Spain,Y15T64,2010,31705439
ESP,Spain,Y15T64,2011,31644057
GBR,United Kingdom,Y15T64,1992,37337380
GBR,United Kingdom,Y15T64,1993,37333675
GBR,United Kingdom,Y15T64,1994,37416071
GBR,United Kingdom,Y15T64,1995,37537800
GBR,United Kingdom,Y15T64,1996,37659164
GBR,United Kingdom,Y15T64,1997,37775984
GBR,United Kingdom,Y15T64,1998,37913851
GBR,United Kingdom,Y15T64,1999,38122179
GBR,United Kingdom,Y15T64,2000,38374633
GBR,United Kingdom,Y15T64,2001,38633537
GBR,United Kingdom,Y15T64,2002,38899660
GBR,United Kingdom,Y15T64,2003,39170807
GBR,United Kingdom,Y15T64,2004,39462365
GBR,United Kingdom,Y15T64,2005,39891891
GBR,United Kingdom,Y15T64,2006,40303832
GBR,United Kingdom,Y15T64,2007,40691232
GBR,United Kingdom,Y15T64,2008,40993002
GBR,United Kingdom,Y15T64,2009,41206422
GBR,United Kingdom,Y15T64,2010,41443544
GBR,United Kingdom,Y15T64,2011,41710756
IRL,Ireland,Y15T64,1992,2217900
IRL,Ireland,Y15T64,1993,2249200
IRL,Ireland,Y15T64,1994,2278600
IRL,Ireland,Y15T64,1995,2312100
IRL,Ireland,Y15T64,1996,2352781
IRL,Ireland,Y15T64,1997,2402075
IRL,Ireland,Y15T64,1998,2447068
IRL,Ireland,Y15T64,1999,2489145
IRL,Ireland,Y15T64,2000,2536849
IRL,Ireland,Y15T64,2001,2589841
IRL,Ireland,Y15T64,2002,2653774
IRL,Ireland,Y15T64,2003,2703270
IRL,Ireland,Y15T64,2004,2751686
IRL,Ireland,Y15T64,2005,2821477
IRL,Ireland,Y15T64,2006,2905507
IRL,Ireland,Y15T64,2007,3020640
IRL,Ireland,Y15T64,2008,3087935
IRL,Ireland,Y15T64,2009,3098112
IRL,Ireland,Y15T64,2010,3082005
IRL,Ireland,Y15T64,2011,3066609
IRL,Ireland,Y15T64,2012,3055614
IRL,Ireland,Y15T64,2013,3051574
IRL,Ireland,Y15T64,2014,3058440
IRL,Ireland,Y15T64,2015,3075812
IRL,Ireland,Y15T64,2016,3104266
USA,United States,Y15T64,1992,167953322
USA,United States,Y15T64,1993,169920143
USA,United States,Y15T64,1994,171992191
USA,United States,Y15T64,1995,174237364
USA,United States,Y15T64,1996,176547324
USA,United States,Y15T64,1997,179157964
USA,United States,Y15T64,1998,181754513
USA,United States,Y15T64,1999,184286959
USA,United States,Y15T64,2000,186813002
USA,United States,Y15T64,2001,189228407
USA,United States,Y15T64,2002,191539956
USA,United States,Y15T64,2003,193615754
USA,United States,Y15T64,2004,195950177
USA,United States,Y15T64,2005,198347755
USA,United States,Y15T64,2006,200699096
USA,United States,Y15T64,2007,202723881
USA,United States,Y15T64,2008,204408961
USA,United States,Y15T64,2009,206060773
USA,United States,Y15T64,2010,207646471
USA,United States,Y15T64,2011,209055864
USA,United States,Y15T64,2012,209617993
USA,United States,Y15T64,2013,210339848
USA,United States,Y15T64,2014,211146488
USA,United States,Y15T64,2015,212052986
USA,United States,Y15T64,2016,212841982
USA,United States,Y15T64,2017,213355711
USA,United States,Y15T64,2018,213604267
USA,United States,Y15T64,2019,213680073
FRA,France,Y15T64,1992,38474551
FRA,France,Y15T64,1993,38579128
FRA,France,Y15T64,1994,38671970
FRA,France,Y15T64,1995,38775714
FRA,France,Y15T64,1996,38891696
FRA,France,Y15T64,1997,39012326
FRA,France,Y15T64,1998,39125972
FRA,France,Y15T64,1999,39278977
FRA,France,Y15T64,2000,39499225
FRA,France,Y15T64,2001,39756136
FRA,France,Y15T64,2002,40036262
FRA,France,Y15T64,2003,40334317
FRA,France,Y15T64,2004,40643943
FRA,France,Y15T64,2005,40967918
FRA,France,Y15T64,2006,41288023
FRA,France,Y15T64,2007,41546796
FRA,France,Y15T64,2008,41716240
FRA,France,Y15T64,2009,41830652
FRA,France,Y15T64,2010,41942890
FRA,France,Y15T64,2011,41969558
FRA,France,Y15T64,2012,41897771
FRA,France,Y15T64,2013,41836202
FRA,France,Y15T64,2014,41893489
FRA,France,Y15T64,2015,41810564
FRA,France,Y15T64,2016,41721962
FRA,France,Y15T64,2017,41665470
FRA,France,Y15T64,2018,41671167
FRA,France,Y15T64,2019,41677958
CHE,Switzerland,Y15T64,1992,4681966
CHE,Switzerland,Y15T64,1993,4711468
CHE,Switzerland,Y15T64,1994,4738369
CHE,Switzerland,Y15T64,1995,4761200
CHE,Switzerland,Y15T64,1996,4774041
CHE,Switzerland,Y15T64,1997,4779035
CHE,Switzerland,Y15T64,1998,4789275
CHE,Switzerland,Y15T64,1999,4809406
CHE,Switzerland,Y15T64,2000,4835157
CHE,Switzerland,Y15T64,2001,4878089
CHE,Switzerland,Y15T64,2002,4925612
CHE,Switzerland,Y15T64,2003,4972571
CHE,Switzerland,Y15T64,2004,5015539
CHE,Switzerland,Y15T64,2005,5055187
CHE,Switzerland,Y15T64,2006,5092245
CHE,Switzerland,Y15T64,2007,5141540
CHE,Switzerland,Y15T64,2008,5209668
CHE,Switzerland,Y15T64,2009,5271812
CHE,Switzerland,Y15T64,2010,5317634
CHE,Switzerland,Y15T64,2011,5372242
CHE,Switzerland,Y15T64,2012,5417347
CHE,Switzerland,Y15T64,2013,5467224
CHE,Switzerland,Y15T64,2014,5520862
CHE,Switzerland,Y15T64,2015,5571198
CHE,Switzerland,Y15T64,2016,5618390
CHE,Switzerland,Y15T64,2017,5653105
CHE,Switzerland,Y15T64,2018,5674095
CHE,Switzerland,Y15T64,2019,5694398
CHE,Switzerland,Y15T64,2020,5719839
CHE,Switzerland,Y15T64,2021,5746095
PRT,Portugal,Y15T64,1992,6649603
PRT,Portugal,Y15T64,1993,6677977
PRT,Portugal,Y15T64,1994,6711345
PRT,Portugal,Y15T64,1995,6748610
PRT,Portugal,Y15T64,1996,6784196
PRT,Portugal,Y15T64,1997,6819857
PRT,Portugal,Y15T64,1998,6855855
PRT,Portugal,Y15T64,1999,6894300
PRT,Portugal,Y15T64,2000,6939317
PRT,Portugal,Y15T64,2001,6978257
PRT,Portugal,Y15T64,2002,7002679
PRT,Portugal,Y15T64,2003,7015437
PRT,Portugal,Y15T64,2004,7016878
PRT,Portugal,Y15T64,2005,7016926
PRT,Portugal,Y15T64,2006,7023146
PRT,Portugal,Y15T64,2007,7033532
PRT,Portugal,Y15T64,2008,7036435
PRT,Portugal,Y15T64,2009,7029408
PRT,Portugal,Y15T64,2010,7013108
PRT,Portugal,Y15T64,2011,6976692
PRT,Portugal,Y15T64,2012,6923449
PRT,Portugal,Y15T64,2013,6860014
PRT,Portugal,Y15T64,2014,6798352
PRT,Portugal,Y15T64,2015,6753798
PRT,Portugal,Y15T64,2016,6713741
PRT,Portugal,Y15T64,2017,6674545
PRT,Portugal,Y15T64,2018,6644313
PRT,Portugal,Y15T64,2019,6627668
PRT,Portugal,Y15T64,2020,6616292
PRT,Portugal,Y15T64,2021,6604818
NLD,Netherlands,Y15T64,1992,10433570
NLD,Netherlands,Y15T64,1993,10490209
NLD,Netherlands,Y15T64,1994,10535001
NLD,Netherlands,Y15T64,1995,10568689
NLD,Netherlands,Y15T64,1996,10603558
NLD,Netherlands,Y15T64,1997,10641726
NLD,Netherlands,Y15T64,1998,10687459
NLD,Netherlands,Y15T64,1999,10739669
NLD,Netherlands,Y15T64,2000,10800495
NLD,Netherlands,Y15T64,2001,10871684
NLD,Netherlands,Y15T64,2002,10935171
NLD,Netherlands,Y15T64,2003,10976602
NLD,Netherlands,Y15T64,2004,10999727
NLD,Netherlands,Y15T64,2005,11013726
NLD,Netherlands,Y15T64,2006,11025091
NLD,Netherlands,Y15T64,2007,11042937
NLD,Netherlands,Y15T64,2008,11072882
NLD,Netherlands,Y15T64,2009,11107333
NLD,Netherlands,Y15T64,2010,11138762
NLD,Netherlands,Y15T64,2011,11135547
NLD,Netherlands,Y15T64,2012,11097313
NLD,Netherlands,Y15T64,2013,11068751
NLD,Netherlands,Y15T64,2014,11063085
NLD,Netherlands,Y15T64,2015,11080006
NLD,Netherlands,Y15T64,2016,11117063
NLD,Netherlands,Y15T64,2017,11159716
NLD,Netherlands,Y15T64,2018,11203843
NLD,Netherlands,Y15T64,2019,11258636
NLD,Netherlands,Y15T64,2020,11297540
NLD,Netherlands,Y15T64,2021,11329457
ITA,Italy,Y15T64,1992,39226824
ITA,Italy,Y15T64,1993,39187128
ITA,Italy,Y15T64,1994,39123111
ITA,Italy,Y15T64,1995,39005898
ITA,Italy,Y15T64,1996,38874532
ITA,Italy,Y15T64,1997,38769075
ITA,Italy,Y15T64,1998,38658913
ITA,Italy,Y15T64,1999,38533350
ITA,Italy,Y15T64,2000,38405018
ITA,Italy,Y15T64,2001,38287374
ITA,Italy,Y15T64,2002,38216716
ITA,Italy,Y15T64,2003,38299437
ITA,Italy,Y15T64,2004,38459877
ITA,Italy,Y15T64,2005,38509542
ITA,Italy,Y15T64,2006,38506840
ITA,Italy,Y15T64,2007,38659761
ITA,Italy,Y15T64,2008,38910211
ITA,Italy,Y15T64,2009,39068912
ITA,Italy,Y15T64,2010,39187661
ITA,Italy,Y15T64,2011,39202923
ITA,Italy,Y15T64,2012,39126193
ITA,Italy,Y15T64,2013,39036137
ITA,Italy,Y15T64,2014,38880095
ITA,Italy,Y15T64,2015,38704045
ITA,Italy,Y15T64,2016,38554409
ITA,Italy,Y15T64,2017,38429628
ITA,Italy,Y15T64,2018,38310756
ITA,Italy,Y15T64,2019,38153205
ITA,Italy,Y15T64,2020,37856485
ITA,Italy,Y15T64,2021,37573534
DEU,Germany,Y15T64,1992,55349372
DEU,Germany,Y15T64,1993,55613341
DEU,Germany,Y15T64,1994,55686305
DEU,Germany,Y15T64,1995,55774528
DEU,Germany,Y15T64,1996,55907351
DEU,Germany,Y15T64,1997,55980349
DEU,Germany,Y15T64,1998,55991035
DEU,Germany,Y15T64,1999,55952362
DEU,Germany,Y15T64,2000,55851743
DEU,Germany,Y15T64,2001,55772016
DEU,Germany,Y15T64,2002,55719011
DEU,Germany,Y15T64,2003,55595923
DEU,Germany,Y15T64,2004,55359157
DEU,Germany,Y15T64,2005,55063396
DEU,Germany,Y15T64,2006,54746149
DEU,Germany,Y15T64,2007,54495823
DEU,Germany,Y15T64,2008,54275818
DEU,Germany,Y15T64,2009,54006063
DEU,Germany,Y15T64,2010,53922000
DEU,Germany,Y15T64,2011,52856734
DEU,Germany,Y15T64,2012,53038578
DEU,Germany,Y15T64,2013,53198954
DEU,Germany,Y15T64,2014,53347162
DEU,Germany,Y15T64,2015,53708240
DEU,Germany,Y15T64,2016,53978882
DEU,Germany,Y15T64,2017,53937129
DEU,Germany,Y15T64,2018,53877877
DEU,Germany,Y15T64,2019,53764817
DEU,Germany,Y15T64,2020,53545184
DEU,Germany,Y15T64,2021,53299643
DEU,Germany,Y15T64,2022,53481767
SWE,Sweden,Y15T64,1992,5543375
SWE,Sweden,Y15T64,1993,5562487
SWE,Sweden,Y15T64,1994,5593534
SWE,Sweden,Y15T64,1995,5621203
SWE,Sweden,Y15T64,1996,5634290
SWE,Sweden,Y15T64,1997,5645290
SWE,Sweden,Y15T64,1998,5659502
SWE,Sweden,Y15T64,1999,5678689
SWE,Sweden,Y15T64,2000,5705139
SWE,Sweden,Y15T64,2001,5738951
SWE,Sweden,Y15T64,2002,5775931
SWE,Sweden,Y15T64,2003,5815249
SWE,Sweden,Y15T64,2004,5854452
SWE,Sweden,Y15T64,2005,5897534
SWE,Sweden,Y15T64,2006,5951913
SWE,Sweden,Y15T64,2007,6007507
SWE,Sweden,Y15T64,2008,6050820
SWE,Sweden,Y15T64,2009,6084661
SWE,Sweden,Y15T64,2010,6106916
SWE,Sweden,Y15T64,2011,6113644
SWE,Sweden,Y15T64,2012,6114835
SWE,Sweden,Y15T64,2013,6121152
SWE,Sweden,Y15T64,2014,6139493
SWE,Sweden,Y15T64,2015,6169542
SWE,Sweden,Y15T64,2016,6221974
SWE,Sweden,Y15T64,2017,6288358
SWE,Sweden,Y15T64,2018,6347082
SWE,Sweden,Y15T64,2019,6401074
SWE,Sweden,Y15T64,2020,6440403
SWE,Sweden,Y15T64,2021,6473933
SWE,Sweden,Y15T64,2022,6519894
NOR,Norway,Y15T64,1992,2770848
NOR,Norway,Y15T64,1993,2785990
NOR,Norway,Y15T64,1994,2801381
NOR,Norway,Y15T64,1995,2815151
NOR,Norway,Y15T64,1996,2828609
NOR,Norway,Y15T64,1997,2844212
NOR,Norway,Y15T64,1998,2863942
NOR,Norway,Y15T64,1999,2887860
NOR,Norway,Y15T64,2000,2911468
NOR,Norway,Y15T64,2001,2932060
NOR,Norway,Y15T64,2002,2955146
NOR,Norway,Y15T64,2003,2980454
NOR,Norway,Y15T64,2004,3005945
NOR,Norway,Y15T64,2005,3035131
NOR,Norway,Y15T64,2006,3070274
NOR,Norway,Y15T64,2007,3113049
NOR,Norway,Y15T64,2008,3159354
NOR,Norway,Y15T64,2009,3200008
NOR,Norway,Y15T64,2010,3237081
NOR,Norway,Y15T64,2011,3275320
NOR,Norway,Y15T64,2012,3313781
NOR,Norway,Y15T64,2013,3349468
NOR,Norway,Y15T64,2014,3382380
NOR,Norway,Y15T64,2015,3412020
NOR,Norway,Y15T64,2016,3435361
NOR,Norway,Y15T64,2017,3453023
NOR,Norway,Y15T64,2018,3467336
NOR,Norway,Y15T64,2019,3485022
NOR,Norway,Y15T64,2020,3499836
NOR,Norway,Y15T64,2021,3511921
NOR,Norway,Y15T64,2022,3540635
FIN,Finland,Y15T64,1992,3385052
FIN,Finland,Y15T64,1993,3396256
FIN,Finland,Y15T64,1994,3403919
FIN,Finland,Y15T64,1995,3409713
FIN,Finland,Y15T64,1996,3416617
FIN,Finland,Y15T64,1997,3427057
FIN,Finland,Y15T64,1998,3441597
FIN,Finland,Y15T64,1999,3455407
FIN,Finland,Y15T64,2000,3464356
FIN,Finland,Y15T64,2001,3471761
FIN,Finland,Y15T64,2002,3478330
FIN,Finland,Y15T64,2003,3483578
FIN,Finland,Y15T64,2004,3488774
FIN,Finland,Y15T64,2005,3499315
FIN,Finland,Y15T64,2006,3507281
FIN,Finland,Y15T64,2007,3518859
FIN,Finland,Y15T64,2008,3536873
FIN,Finland,Y15T64,2009,3547872
FIN,Finland,Y15T64,2010,3549605
FIN,Finland,Y15T64,2011,3539601
FIN,Finland,Y15T64,2012,3524863
FIN,Finland,Y15T64,2013,3508396
FIN,Finland,Y15T64,2014,3491727
FIN,Finland,Y15T64,2015,3475969
FIN,Finland,Y15T64,2016,3463659
FIN,Finland,Y15T64,2017,3451264
FIN,Finland,Y15T64,2018,3437117
FIN,Finland,Y15T64,2019,3426913
FIN,Finland,Y15T64,2020,3419992
FIN,Finland,Y15T64,2021,3417206
FIN,Finland,Y15T64,2022,3423271
BEL,Belgium,Y15T64,1992,6681935
BEL,Belgium,Y15T64,1993,6693532
BEL,Belgium,Y15T64,1994,6702673
BEL,Belgium,Y15T64,1995,6703820
BEL,Belgium,Y15T64,1996,6703184
BEL,Belgium,Y15T64,1997,6706151
BEL,Belgium,Y15T64,1998,6708710
BEL,Belgium,Y15T64,1999,6715128
BEL,Belgium,Y15T64,2000,6723896
BEL,Belgium,Y15T64,2001,6743337
BEL,Belgium,Y15T64,2002,6774422
BEL,Belgium,Y15T64,2003,6804809
BEL,Belgium,Y15T64,2004,6835178
BEL,Belgium,Y15T64,2005,6878877
BEL,Belgium,Y15T64,2006,6941500
BEL,Belgium,Y15T64,2007,7010582
BEL,Belgium,Y15T64,2008,7072926
BEL,Belgium,Y15T64,2009,7124475
BEL,Belgium,Y15T64,2010,7179723
BEL,Belgium,Y15T64,2011,7225040
BEL,Belgium,Y15T64,2012,7246905
BEL,Belgium,Y15T64,2013,7258956
BEL,Belgium,Y15T64,2014,7268181
BEL,Belgium,Y15T64,2015,7283749
BEL,Belgium,Y15T64,2016,7300061
BEL,Belgium,Y15T64,2017,7312259
BEL,Belgium,Y15T64,2018,7325392
BEL,Belgium,Y15T64,2019,7342747
BEL,Belgium,Y15T64,2020,7357957
BEL,Belgium,Y15T64,2021,7376439
BEL,Belgium,Y15T64,2022,7422214
BEL,Belgium,Y_GE65,1992,1537895
BEL,Belgium,Y_GE65,1993,1560841
BEL,Belgium,Y_GE65,1994,1584110
BEL,Belgium,Y_GE65,1995,1611074
BEL,Belgium,Y_GE65,1996,1639345
BEL,Belgium,Y_GE65,1997,1665833
BEL,Belgium,Y_GE65,1998,1688023
BEL,Belgium,Y_GE65,1999,1706275
BEL,Belgium,Y_GE65,2000,1722414
BEL,Belgium,Y_GE65,2001,1738064
BEL,Belgium,Y_GE65,2002,1754391
BEL,Belgium,Y_GE65,2003,1771253
BEL,Belgium,Y_GE65,2004,1789811
BEL,Belgium,Y_GE65,2005,1804262
BEL,Belgium,Y_GE65,2006,1809539
BEL,Belgium,Y_GE65,2007,1814098
BEL,Belgium,Y_GE65,2008,1827455
BEL,Belgium,Y_GE65,2009,1848469
BEL,Belgium,Y_GE65,2010,1871485
BEL,Belgium,Y_GE65,2011,1903640
BEL,Belgium,Y_GE65,2012,1941800
BEL,Belgium,Y_GE65,2013,1976481
BEL,Belgium,Y_GE65,2014,2012215
BEL,Belgium,Y_GE65,2015,2046575
BEL,Belgium,Y_GE65,2016,2078829
BEL,Belgium,Y_GE65,2017,2112826
BEL,Belgium,Y_GE65,2018,2147929
BEL,Belgium,Y_GE65,2019,2184889
BEL,Belgium,Y_GE65,2020,2216799
BEL,Belgium,Y_GE65,2021,2249220
BEL,Belgium,Y_GE65,2022,2290062
FIN,Finland,Y_GE65,1992,689998
FIN,Finland,Y_GE65,1993,700689
FIN,Finland,Y_GE65,1994,712919
FIN,Finland,Y_GE65,1995,726068
FIN,Finland,Y_GE65,1996,737787
FIN,Finland,Y_GE65,1997,747822
FIN,Finland,Y_GE65,1998,755654
FIN,Finland,Y_GE65,1999,762991
FIN,Finland,Y_GE65,2000,772180
FIN,Finland,Y_GE65,2001,782283
FIN,Finland,Y_GE65,2002,792969
FIN,Finland,Y_GE65,2003,805880
FIN,Finland,Y_GE65,2004,822069
FIN,Finland,Y_GE65,2005,836053
FIN,Finland,Y_GE65,2006,854942
FIN,Finland,Y_GE65,2007,871975
FIN,Finland,Y_GE65,2008,883646
FIN,Finland,Y_GE65,2009,901253
FIN,Finland,Y_GE65,2010,925738
FIN,Finland,Y_GE65,2011,960340
FIN,Finland,Y_GE65,2012,998916
FIN,Finland,Y_GE65,2013,1037372
FIN,Finland,Y_GE65,2014,1073966
FIN,Finland,Y_GE65,2015,1107245
FIN,Finland,Y_GE65,2016,1136537
FIN,Finland,Y_GE65,2017,1164643
FIN,Finland,Y_GE65,2018,1192077
FIN,Finland,Y_GE65,2019,1218057
FIN,Finland,Y_GE65,2020,1243604
FIN,Finland,Y_GE65,2021,1267486
FIN,Finland,Y_GE65,2022,1286775
NOR,Norway,Y_GE65,1992,696224
NOR,Norway,Y_GE65,1993,695848
NOR,Norway,Y_GE65,1994,695114
NOR,Norway,Y_GE65,1995,694774
NOR,Norway,Y_GE65,1996,693987
NOR,Norway,Y_GE65,1997,692667
NOR,Norway,Y_GE65,1998,689859
NOR,Norway,Y_GE65,1999,685491
NOR,Norway,Y_GE65,2000,680929
NOR,Norway,Y_GE65,2001,677321
NOR,Norway,Y_GE65,2002,674695
NOR,Norway,Y_GE65,2003,673968
NOR,Norway,Y_GE65,2004,676037
NOR,Norway,Y_GE65,2005,680095
NOR,Norway,Y_GE65,2006,684026
NOR,Norway,Y_GE65,2007,689452
NOR,Norway,Y_GE65,2008,699062
NOR,Norway,Y_GE65,2009,713739
NOR,Norway,Y_GE65,2010,732455
NOR,Norway,Y_GE65,2011,755129
NOR,Norway,Y_GE65,2012,779314
NOR,Norway,Y_GE65,2013,801587
NOR,Norway,Y_GE65,2014,823429
NOR,Norway,Y_GE65,2015,844704
NOR,Norway,Y_GE65,2016,864959
NOR,Norway,Y_GE65,2017,885618
NOR,Norway,Y_GE65,2018,907634
NOR,Norway,Y_GE65,2019,930329
NOR,Norway,Y_GE65,2020,953776
NOR,Norway,Y_GE65,2021,977609
NOR,Norway,Y_GE65,2022,1000467
SWE,Sweden,Y_GE65,1992,1533139
SWE,Sweden,Y_GE65,1993,1535326
SWE,Sweden,Y_GE65,1994,1538114
SWE,Sweden,Y_GE65,1995,1541728
SWE,Sweden,Y_GE65,1996,1543314
SWE,Sweden,Y_GE65,1997,1542831
SWE,Sweden,Y_GE65,1998,1540013
SWE,Sweden,Y_GE65,1999,1535107
SWE,Sweden,Y_GE65,2000,1531724
SWE,Sweden,Y_GE65,2001,1531475
SWE,Sweden,Y_GE65,2002,1532929
SWE,Sweden,Y_GE65,2003,1537523
SWE,Sweden,Y_GE65,2004,1547795
SWE,Sweden,Y_GE65,2005,1559854
SWE,Sweden,Y_GE65,2006,1573410
SWE,Sweden,Y_GE65,2007,1594925
SWE,Sweden,Y_GE65,2008,1626749
SWE,Sweden,Y_GE65,2009,1667928
SWE,Sweden,Y_GE65,2010,1714015
SWE,Sweden,Y_GE65,2011,1760957
SWE,Sweden,Y_GE65,2012,1806479
SWE,Sweden,Y_GE65,2013,1850244
SWE,Sweden,Y_GE65,2014,1892547
SWE,Sweden,Y_GE65,2015,1930054
SWE,Sweden,Y_GE65,2016,1962044
SWE,Sweden,Y_GE65,2017,1991503
SWE,Sweden,Y_GE65,2018,2020931
SWE,Sweden,Y_GE65,2019,2050539
SWE,Sweden,Y_GE65,2020,2076732
SWE,Sweden,Y_GE65,2021,2103428
SWE,Sweden,Y_GE65,2022,2132948
DEU,Germany,Y_GE65,1992,12104377
DEU,Germany,Y_GE65,1993,12268222
DEU,Germany,Y_GE65,1994,12451022
DEU,Germany,Y_GE65,1995,12637111
DEU,Germany,Y_GE65,1996,12794614
